"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"ots.gov","ots.gov","https://ots.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ourdocuments.gov","ourdocuments.gov","https://www.ourdocuments.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ovc.gov","ovc.gov","https://www.ovc.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ovcttac.gov","ovcttac.gov","https://www.ovcttac.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"oversight.gov","oversight.gov","https://oversight.gov","Council of Inspectors General on Integrity and Efficiency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"pandemicflu.gov","pandemicflu.gov","https://www.pandemicflu.gov","Department of Health and Human Services","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"papahanaumokuakea.gov","papahanaumokuakea.gov","https://www.papahanaumokuakea.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"patriotbonds.gov","patriotbonds.gov","https://patriotbonds.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pay.gov","pay.gov","https://pay.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"paymentaccuracy.gov","paymentaccuracy.gov","https://paymentaccuracy.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"pbgc.gov","pbgc.gov","https://www.pbgc.gov","Pension Benefit Guaranty Corporation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pci.gov","pci.gov","http://pci.gov","Executive Office of the President","dotgov","","","","","","","","","No"
"pclob.gov","pclob.gov","https://www.pclob.gov","Privacy and Civil Liberties Oversight Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"peacecorps.gov","peacecorps.gov","https://www.peacecorps.gov","U.S. Peace Corps","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pentagon.gov","pentagon.gov","http://www.pentagon.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pepfar.gov","pepfar.gov","https://www.pepfar.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"performance.gov","performance.gov","https://www.performance.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"phe.gov","phe.gov","https://www.phe.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pic.gov","pic.gov","https://www.pic.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"piedrasblancas.gov","piedrasblancas.gov","https://piedrasblancas.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"pif.gov","pif.gov","https://pif.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pitc.gov","pitc.gov","http://pitc.gov","Executive Office of the President","dotgov","","","","","","","","","No"
"plainlanguage.gov","plainlanguage.gov","https://plainlanguage.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pmf.gov","pmf.gov","https://pmf.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"pmi.gov","pmi.gov","https://www.pmi.gov","U.S. Agency for International Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"pnl.gov","pnl.gov","https://pnl.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pnnl.gov","pnnl.gov","https://www.pnnl.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"poolsafely.gov","poolsafely.gov","https://www.poolsafely.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"poolsafety.gov","poolsafety.gov","https://poolsafety.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"postoffice.gov","postoffice.gov","http://postoffice.gov","United States Postal Service","dotgov","No","No","No","","","","","","No"
"ppirs.gov","ppirs.gov","https://www.ppirs.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pppl.gov","pppl.gov","https://www.pppl.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"pracomment.gov","pracomment.gov","http://www.pracomment.gov","Department of the Treasury","dotgov","No","No","No","","","","","","No"
"prc.gov","prc.gov","https://www.prc.gov","Postal Regulatory Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"pregunteleakaren.gov","pregunteleakaren.gov","https://pregunteleakaren.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"preserveamerica.gov","preserveamerica.gov","http://preserveamerica.gov","Advisory Council on Historic Preservation","dotgov","No","No","No","","","","","","No"
"presidentialinnovationfellows.gov","presidentialinnovationfellows.gov","https://presidentialinnovationfellows.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"presidentialserviceawards.gov","presidentialserviceawards.gov","https://www.presidentialserviceawards.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"presidio.gov","presidio.gov","https://www.presidio.gov","Presidio Trust","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"presidiotrust.gov","presidiotrust.gov","http://presidiotrust.gov","Presidio Trust","dotgov","","","","","","","","","No"
"pretrialservices.gov","pretrialservices.gov","https://www.pretrialservices.gov","Court Services and Offender Supervision","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"privacyshield.gov","privacyshield.gov","https://www.privacyshield.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"projectsafechildhood.gov","projectsafechildhood.gov","https://projectsafechildhood.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"projectsafeneighborhoods.gov","projectsafeneighborhoods.gov","https://projectsafeneighborhoods.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"protecciondelconsumidor.gov","protecciondelconsumidor.gov","https://www.protecciondelconsumidor.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"protectyourmove.gov","protectyourmove.gov","https://www.protectyourmove.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"psa.gov","psa.gov","https://psa.gov","Court Services and Offender Supervision","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"psc.gov","psc.gov","http://psc.gov","Department of Health and Human Services","dotgov","No","No","Yes","Yes","No","No","No","No","Yes"
"pscr.gov","pscr.gov","https://pscr.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"psob.gov","psob.gov","https://psob.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ptf.gov","ptf.gov","http://www.ptf.gov","The Intelligence Community","dotgov","No","No","No","","","","","","No"
"pubmed.gov","pubmed.gov","http://pubmed.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"qart.gov","qart.gov","http://qart.gov","Director of National Intelligence","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"qatesttwai.gov","qatesttwai.gov","https://qatesttwai.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"rcfl.gov","rcfl.gov","https://www.rcfl.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ready.gov","ready.gov","https://www.ready.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"readybusiness.gov","readybusiness.gov","https://readybusiness.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"reaganlibrary.gov","reaganlibrary.gov","https://www.reaganlibrary.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"realestatesales.gov","realestatesales.gov","https://realestatesales.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"realpropertyprofile.gov","realpropertyprofile.gov","https://www.realpropertyprofile.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"recalls.gov","recalls.gov","https://recalls.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"recoverymonth.gov","recoverymonth.gov","https://recoverymonth.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"recreation.gov","recreation.gov","https://www.recreation.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"reginfo.gov","reginfo.gov","https://www.reginfo.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"regulations.gov","regulations.gov","https://www.regulations.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"relocatefeds.gov","relocatefeds.gov","https://relocatefeds.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"reo.gov","reo.gov","https://reo.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"reportband.gov","reportband.gov","https://reportband.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"reporting.gov","reporting.gov","https://www.reporting.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"research.gov","research.gov","https://www.research.gov","National Science Foundation","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"restorethegulf.gov","restorethegulf.gov","https://restorethegulf.gov","Gulf Coast Ecosystem Restoration Council","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"rivers.gov","rivers.gov","https://rivers.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"rl.gov","rl.gov","http://rl.gov","Department of Energy","dotgov","","","","","","","","","No"
"robodeidentidad.gov","robodeidentidad.gov","https://robodeidentidad.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"rocis.gov","rocis.gov","https://www.rocis.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"rrb.gov","rrb.gov","https://rrb.gov","Railroad Retirement Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sac.gov","sac.gov","https://sac.gov","National Science Foundation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"safecar.gov","safecar.gov","https://www.safecar.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"safecom.gov","safecom.gov","https://www.safecom.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"safeocs.gov","safeocs.gov","https://safeocs.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"safercar.gov","safercar.gov","https://www.safercar.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"saferproduct.gov","saferproduct.gov","https://saferproduct.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"saferproducts.gov","saferproducts.gov","https://saferproducts.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"safertruck.gov","safertruck.gov","https://www.safertruck.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"safetyact.gov","safetyact.gov","https://safetyact.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"safetyvideos.gov","safetyvideos.gov","http://safetyvideos.gov","Chemical Safety Board","dotgov","No","No","No","","","","","","No"
"salmonrecovery.gov","salmonrecovery.gov","https://www.salmonrecovery.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"sam.gov","sam.gov","https://sam.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"samhsa.gov","samhsa.gov","https://www.samhsa.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sandia.gov","sandia.gov","https://sandia.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"savingsbond.gov","savingsbond.gov","https://savingsbond.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"savingsbonds.gov","savingsbonds.gov","https://savingsbonds.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"savingsbondwizard.gov","savingsbondwizard.gov","https://savingsbondwizard.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sba.gov","sba.gov","https://www.sba.gov","Small Business Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sbir.gov","sbir.gov","http://www.sbir.gov","Small Business Administration","dotgov","No","No","Yes","Yes","No","No","No","No","Yes"
"sbst.gov","sbst.gov","https://sbst.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"schoolsafety.gov","schoolsafety.gov","https://www.schoolsafety.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"scidac.gov","scidac.gov","https://scidac.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"science.gov","science.gov","https://www.science.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"science360.gov","science360.gov","https://science360.gov","National Science Foundation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"sciencebase.gov","sciencebase.gov","https://www.sciencebase.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"scijinks.gov","scijinks.gov","https://scijinks.gov","National Aeronautics and Space Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"scra.gov","scra.gov","https://scra.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"sdr.gov","sdr.gov","https://www.sdr.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"search.gov","search.gov","https://search.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"sec.gov","sec.gov","https://www.sec.gov","Securities and Exchange Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"secretservice.gov","secretservice.gov","https://www.secretservice.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"section508.gov","section508.gov","http://section508.gov","General Services Administration","dotgov","No","No","No","Yes","No","No","No","No","Yes"
"seguridadconsumidor.gov","seguridadconsumidor.gov","https://seguridadconsumidor.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"segurosocial.gov","segurosocial.gov","https://segurosocial.gov","Social Security Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"selectagents.gov","selectagents.gov","https://www.selectagents.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"selectusa.gov","selectusa.gov","https://www.selectusa.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"seniorcorps.gov","seniorcorps.gov","http://seniorcorps.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"sentinel.gov","sentinel.gov","https://sentinel.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"serve.gov","serve.gov","https://serve.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"servicemembers.gov","servicemembers.gov","https://servicemembers.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"sftool.gov","sftool.gov","https://sftool.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"sharetheroadsafely.gov","sharetheroadsafely.gov","https://www.sharetheroadsafely.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sierrawild.gov","sierrawild.gov","https://www.sierrawild.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sigtarp.gov","sigtarp.gov","https://www.sigtarp.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"siteidiq.gov","siteidiq.gov","https://www.siteidiq.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sji.gov","sji.gov","http://www.sji.gov","State Justice Institute","dotgov","No","No","No","","","","","","No"
"slgs.gov","slgs.gov","https://slgs.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"smart.gov","smart.gov","https://smart.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"smartcheck.gov","smartcheck.gov","https://smartcheck.gov","Commodity Futures Trading Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"smartgrid.gov","smartgrid.gov","https://smartgrid.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"smokefree.gov","smokefree.gov","https://smokefree.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"smokeybear.gov","smokeybear.gov","https://smokeybear.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sns.gov","sns.gov","https://sns.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"socialsecurity.gov","socialsecurity.gov","https://socialsecurity.gov","Social Security Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"solardecathlon.gov","solardecathlon.gov","https://www.solardecathlon.gov","Department of Energy","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"spaceweather.gov","spaceweather.gov","https://www.spaceweather.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"spectrum.gov","spectrum.gov","https://spectrum.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"srs.gov","srs.gov","https://www.srs.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ssa.gov","ssa.gov","https://www.ssa.gov","Social Security Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ssab.gov","ssab.gov","http://www.ssab.gov","Social Security Advisory Board","dotgov","No","No","No","Yes","No","No","No","No","Yes"
"sss.gov","sss.gov","http://sss.gov","Selective Service System","dotgov","","","","","","","","","No"
"standards.gov","standards.gov","https://standards.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"state.gov","state.gov","https://www.state.gov","Department of State","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"stateoig.gov","stateoig.gov","https://www.stateoig.gov","Department of State, Office of Inspector General","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"stb.gov","stb.gov","https://stb.gov","Surface Transportation Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"stopalcoholabuse.gov","stopalcoholabuse.gov","https://www.stopalcoholabuse.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"stopbullying.gov","stopbullying.gov","https://www.stopbullying.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"stopfakes.gov","stopfakes.gov","https://www.stopfakes.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"stopfraud.gov","stopfraud.gov","https://www.stopfraud.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"strongports.gov","strongports.gov","https://strongports.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"studentaid.gov","studentaid.gov","http://studentaid.gov","Department of Education","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"studentloans.gov","studentloans.gov","https://studentloans.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"surgeongeneral.gov","surgeongeneral.gov","https://surgeongeneral.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"sustainability.gov","sustainability.gov","https://www.sustainability.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"sworm.gov","sworm.gov","https://www.sworm.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"swpa.gov","swpa.gov","https://swpa.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"symbols.gov","symbols.gov","https://www.symbols.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"taaps.gov","taaps.gov","https://taaps.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"tax.gov","tax.gov","https://www.tax.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"telework.gov","telework.gov","https://telework.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"thecoolspot.gov","thecoolspot.gov","https://www.thecoolspot.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"therealcost.gov","therealcost.gov","https://therealcost.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"thisfreelife.gov","thisfreelife.gov","https://www.thisfreelife.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"tigta.gov","tigta.gov","http://tigta.gov","Department of the Treasury","dotgov","No","No","Yes","Yes","No","No","No","No","No"
"time.gov","time.gov","https://time.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"tobacco.gov","tobacco.gov","https://tobacco.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","Yes"
"tox21.gov","tox21.gov","https://tox21.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"trade.gov","trade.gov","https://www.trade.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"trafficsafetymarketing.gov","trafficsafetymarketing.gov","https://www.trafficsafetymarketing.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"trainingproviderresults.gov","trainingproviderresults.gov","http://trainingproviderresults.gov","Department of Labor","dotgov","No","No","No","","","","","","Yes"
"transportation.gov","transportation.gov","https://www.transportation.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"treas.gov","treas.gov","https://treas.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"treaslockbox.gov","treaslockbox.gov","https://treaslockbox.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"treasury.gov","treasury.gov","https://www.treasury.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"treasuryauction.gov","treasuryauction.gov","http://treasuryauction.gov","Department of the Treasury","dotgov","","","","","","","","","No"
"treasuryauctions.gov","treasuryauctions.gov","https://treasuryauctions.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"treasurydirect.gov","treasurydirect.gov","https://treasurydirect.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"treasuryhunt.gov","treasuryhunt.gov","https://treasuryhunt.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"treasuryscams.gov","treasuryscams.gov","https://treasuryscams.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"tribaljusticeandsafety.gov","tribaljusticeandsafety.gov","https://tribaljusticeandsafety.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"truman.gov","truman.gov","https://truman.gov","Harry S. Truman Scholarship Foundation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"trumanlibrary.gov","trumanlibrary.gov","https://www.trumanlibrary.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"tsa.gov","tsa.gov","https://www.tsa.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"tsc.gov","tsc.gov","http://www.tsc.gov","Terrorist Screening Center","dotgov","No","No","No","","","","","","No"
"tsp.gov","tsp.gov","https://www.tsp.gov","Federal Retirement Thrift Investment Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"tsunami.gov","tsunami.gov","https://tsunami.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"tswg.gov","tswg.gov","https://tswg.gov","Department of Defense","dotgov","No","No","No","","","","","","No"
"ttb.gov","ttb.gov","https://ttb.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ttbonline.gov","ttbonline.gov","https://ttbonline.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"tva.gov","tva.gov","https://www.tva.gov","Tennessee Valley Authority","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"tvaoig.gov","tvaoig.gov","http://www.tvaoig.gov","Tennessee Valley Authority","dotgov","No","No","No","","","","","","No"
"ucia.gov","ucia.gov","http://ucia.gov","Central Intelligence Agency","dotgov","","","","","","","","","No"
"ucrdatatool.gov","ucrdatatool.gov","http://ucrdatatool.gov","Department of Justice","dotgov","No","No","Yes","Yes","No","No","No","No","Yes"
"udall.gov","udall.gov","https://udall.gov","Morris K. Udall and Stewart L. Udall Foundation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ugov.gov","ugov.gov","http://ugov.gov","Director of National Intelligence","dotgov","","","","","","","","","No"
"unicor.gov","unicor.gov","https://unicor.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"unionreports.gov","unionreports.gov","https://unionreports.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"unlocktalent.gov","unlocktalent.gov","https://unlocktalent.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"urbanwaters.gov","urbanwaters.gov","https://urbanwaters.gov","Environmental Protection Agency","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"us-cert.gov","us-cert.gov","https://www.us-cert.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"us.gov","us.gov","https://us.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usa.gov","usa.gov","https://www.usa.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"usability.gov","usability.gov","https://www.usability.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"usadf.gov","usadf.gov","https://www.usadf.gov","United States African Development Foundation","dotgov","No","Yes","No","Yes","No","No","No","No","No"
