"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"mlkday.gov","mlkday.gov","http://mlkday.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"mmc.gov","mmc.gov","https://www.mmc.gov","Marine Mammal Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mms.gov","mms.gov","http://mms.gov","Department of the Interior","dotgov","","","","","","","","","No"
"mojavedata.gov","mojavedata.gov","https://mojavedata.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"moneyfactory.gov","moneyfactory.gov","https://moneyfactory.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"moneyfactorystore.gov","moneyfactorystore.gov","http://moneyfactorystore.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mrlc.gov","mrlc.gov","https://www.mrlc.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"msb.gov","msb.gov","http://msb.gov","Department of the Treasury","dotgov","No","No","No","","","","","","No"
"msha.gov","msha.gov","https://www.msha.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"mspb.gov","mspb.gov","https://www.mspb.gov","Merit Systems Protection Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"mtbs.gov","mtbs.gov","https://mtbs.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mtmc.gov","mtmc.gov","http://mtmc.gov","Department of Defense","dotgov","","","","","","","","","No"
"my2020census.gov","my2020census.gov","http://www.my2020census.gov","Department of Commerce","dotgov","No","No","No","","","","","","No"
"mycreditunion.gov","mycreditunion.gov","https://www.mycreditunion.gov","National Credit Union Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"myfdic.gov","myfdic.gov","http://myfdic.gov","Federal Deposit Insurance Corporation","dotgov","","","","","","","","","Yes"
"myira.gov","myira.gov","https://myira.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mymedicare.gov","mymedicare.gov","https://www.mymedicare.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"mymoney.gov","mymoney.gov","https://www.mymoney.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"myplate.gov","myplate.gov","https://myplate.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"myra.gov","myra.gov","https://myra.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nafri.gov","nafri.gov","https://nafri.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nagb.gov","nagb.gov","https://nagb.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"namus.gov","namus.gov","https://www.namus.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nano.gov","nano.gov","https://www.nano.gov","National Nanotechnology Coordination Office","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"nara.gov","nara.gov","https://nara.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nasa.gov","nasa.gov","https://www.nasa.gov","National Aeronautics and Space Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nationalbank.gov","nationalbank.gov","https://nationalbank.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nationalbankhelp.gov","nationalbankhelp.gov","https://nationalbankhelp.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"nationalbanknet.gov","nationalbanknet.gov","https://nationalbanknet.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nationalgangcenter.gov","nationalgangcenter.gov","https://www.nationalgangcenter.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nationalhousing.gov","nationalhousing.gov","https://nationalhousing.gov","Department of Housing and Urban Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nationalhousinglocator.gov","nationalhousinglocator.gov","https://nationalhousinglocator.gov","Department of Housing and Urban Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nationalmap.gov","nationalmap.gov","https://nationalmap.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nationalresourcedirectory.gov","nationalresourcedirectory.gov","https://nationalresourcedirectory.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nationalservice.gov","nationalservice.gov","https://nationalservice.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nationsreportcard.gov","nationsreportcard.gov","https://www.nationsreportcard.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
